group,name,n_symbols,symbols,intervals,max_rows_per_call,rate_limit_per_min,rate_limit_per_hour,expected_daily_rows,freshness_sla_minutes,redistributable,license_note
bars,binance,3,"BTCUSDT, ETHUSDT, SOLUSDT",1d,1000.0,1200.0,,1,1500,True,Binance public REST market data (historical klines); exchange-native and generally redistributable. Verify Binance API terms before public publishing.
bars,bybit,3,"BTCUSDT, ETHUSDT, SOLUSDT",1d,1000.0,,,1,1500,True,"bybit public spot OHLCV via ccxt; exchange-native market data, generally redistributable. Verify the venue's API terms before public publishing."
bars,coinbase,3,"BTCUSDT, ETHUSDT, SOLUSDT",1d,1000.0,,,1,1500,True,"coinbase public spot OHLCV via ccxt; exchange-native market data, generally redistributable. Verify the venue's API terms before public publishing."
bars,kraken,2,"BTCUSDT, ETHUSDT",1d,720.0,60.0,,1,1500,True,Kraken public REST OHLC data; exchange-native and generally redistributable. Verify Kraken API terms before public publishing.
bars,kucoin,3,"BTCUSDT, ETHUSDT, SOLUSDT",1d,1000.0,,,1,1500,True,"kucoin public spot OHLCV via ccxt; exchange-native market data, generally redistributable. Verify the venue's API terms before public publishing."
bars,okx,3,"BTCUSDT, ETHUSDT, SOLUSDT",1d,1000.0,,,1,1500,True,"okx public spot OHLCV via ccxt; exchange-native market data, generally redistributable. Verify the venue's API terms before public publishing."
bars,tiingo,27,"SPY, QQQ, IWM, DIA, GLD, SLV, USO, TLT, IEF, SHY, LQD, HYG, UUP, EEM, EFA, VIXY, XLB, XLC, XLE, XLF, XLI, XLK, XLP, XLRE, XLU, XLV, XLY",1d,,20.0,50.0,1,1500,False,"Tiingo end-of-day US equities/ETFs, licensed feed. Free tier is non-commercial with an hourly request cap. Redistribution NOT yet confirmed — review Tiingo's terms before setting redistributable=True. Split- and dividend-ADJUSTED prices are stored (the adj* fields), matching the yfinance convention. Raw prices were tried first and made every split read as a ~50% crash: 12 of 27 symbols carried such artifacts."
bars,yfinance,8,"BTCUSDT, ETHUSDT, SOLUSDT, SPY, QQQ, GLD, TLT, DX-Y.NYB",1d,,,,1,1500,False,"Scrapes Yahoo Finance; Yahoo's terms prohibit redistribution. Code-only source — the ingestor is open-sourced, the data is not published to the public lake."
events,fredcal,11,"CPIAUCSL, CPILFESL, PCEPI, PCEPILFE, PAYEMS, UNRATE, ICSA, GDPC1, INDPRO, RSAFS, HOUST",1d,100000.0,120.0,,1,1500,True,U.S. macro release calendar built from FRED releases + ALFRED vintages (BLS / BEA / Census / Federal Reserve Board) — public domain and redistributable. The consensus FORECAST column is proprietary and NOT included; it layers on code-only per user (docs/schemas/events.md).
microstructure,binance,3,"BTCUSDT, ETHUSDT, SOLUSDT",tick,,,,0,1440,True,"Binance public websocket market data (trades, diff-depth, book ticker) — exchange-native and redistributable, same terms as the REST klines. Published in full from 2026-08-16: the platform serves data; the strategy that consumes it lives outside this repo. Withheld before that date by choice, never by licence."
microstructure,coinbase,3,"BTCUSDT, ETHUSDT, SOLUSDT",tick,,,,0,1440,True,"Coinbase Exchange public websocket feed (matches, level2_batch, ticker, heartbeat) — public and no-auth, redistributable. Canonical symbols map to Coinbase's USD pairs, so BTCUSDT here is BTC-USD; the USD/USDT difference against Binance is the point, not an error."
series,binancefut,3,"BTCUSDT, ETHUSDT, SOLUSDT",1d,1000.0,1200.0,,3,1500,True,"Binance USD-M perpetual funding rate + settlement mark price (public fapi REST); exchange-native and generally redistributable. Open interest (~30d REST history) and liquidations (no public REST, streaming only) are deliberately not included here — see the ingestor. Verify Binance API terms before public publishing."
series,cboe,3,"VIX, VVIX, SKEW",1d,,,,1,1500,True,"CBOE end-of-day volatility index levels (VIX / VVIX / SKEW), published as free CSVs on the CBOE CDN. EOD index levels are generally redistributable; the real-time feed and the underlying options data are NOT. Re-verify CBOE's terms before public publishing."
series,cftc,18,"ES, NQ, RTY, UST2Y, UST5Y, UST10Y, USTBOND, FF, DXY, EUR, JPY, GBP, CHF, AUD, CAD, VIX, BTC, ETH",1d,50000.0,,,1,1500,True,"CFTC Commitments of Traders — Traders in Financial Futures (TFF), futures-only — from the CFTC public reporting Socrata API. U.S.-government public-domain data; redistributable. Stored as multi-metric positioning (trader-category long/short + open interest)."
series,fred,26,"GDPC1, INDPRO, HOUST, RSAFS, CPIAUCSL, CPILFESL, PCEPI, PCEPILFE, UNRATE, PAYEMS, ICSA, FEDFUNDS, SOFR, DGS3MO, DGS2, DGS10, DGS30, T10Y2Y, T10Y3M, DFII10, T10YIE, M2SL, WALCL, RRPONTSYD, WTREGEN, DTWEXBGS",1d,100000.0,120.0,,1,1500,True,"FRED delivery of U.S.-government statistical series (BLS / BEA / Census / Federal Reserve Board / Treasury) — public domain and redistributable. NOTE: FRED also hosts third-party series (ICE, S&P/Case-Shiller) that are NOT redistributable; only government series are curated here. Re-verify per series before public publishing."
